ID_Proyecto,Fecha_Inicio,Ciudad,Region,Sector,Tipo_Contrato,Responsable,Presupuesto_Aprobado,Costo_Real,Duracion_Planeada_dias,Duracion_Real_dias,Estado,Fuente_Financiacion,Nivel_Riesgo
PRJ201,2020-03-16,Pereira,Andina,Salud,APP,Andrés Castillo,11257,11937,166,194,En ejecución,Mixta,Medio
PRJ202,2025-05-24,Santa Marta,Caribe,Salud,APP,Laura Martínez,5602,5926,581,743,Suspendido,Mixta,Alto
PRJ203,2022-02-19,Villavicencio,Orinoquía,Logística,Licitación pública,Carlos Ruiz,12453,13289,467,521,En ejecución,Pública,Medio
PRJ204,2023-02-06,Cali,Pacífica,Salud,Acuerdo marco,Laura Martínez,5371,5402,461,549,En ejecución,Pública,Bajo
PRJ205,2024-10-28,Cúcuta,Andina,Salud,Contratación directa,Mariana Torres,7609,7794,426,480,En ejecución,Privada,Bajo
PRJ206,2024-09-08,Santa Marta,Caribe,Logística,Acuerdo marco,Andrés Castillo,10911,11843,137,145,En ejecución,Privada,Medio
PRJ207,2020-03-24,Pereira,Andina,Logística,APP,Andrés Castillo,6436,7127,391,523,Suspendido,Privada,Alto
PRJ208,2025-06-27,Villavicencio,Orinoquía,Salud,Licitación pública,Laura Martínez,6396,6898,509,506,Finalizado,Mixta,Medio
PRJ209,2021-09-19,Bogotá,Andina,Logística,Licitación pública,Carlos Ruiz,13225,13971,275,295,En ejecución,Pública,Medio
PRJ210,2021-04-15,Pereira,Andina,Logística,Acuerdo marco,Andrés Castillo,7020,7911,651,658,En ejecución,Privada,Medio
PRJ211,2022-08-24,Cúcuta,Andina,Logística,Acuerdo marco,Mariana Torres,13531,15752,470,523,En ejecución,Pública,Alto
PRJ212,2021-12-18,Villavicencio,Orinoquía,Tecnología,Contratación directa,Carlos Ruiz,6571,6536,424,425,En ejecución,Mixta,Bajo
PRJ213,2021-04-29,Cúcuta,Andina,Educación,Acuerdo marco,Mariana Torres,9911,10020,244,273,En ejecución,Privada,Bajo
PRJ214,2025-02-02,Pereira,Andina,Tecnología,APP,Carlos Ruiz,2344,2327,200,230,En ejecución,Mixta,Bajo
PRJ215,2023-12-17,Cartagena,Caribe,Tecnología,Contratación directa,Carlos Ruiz,4221,4600,398,349,Finalizado,Privada,Medio
PRJ216,2025-11-26,Villavicencio,Orinoquía,Salud,Contratación directa,Ana Gómez,9350,9666,358,345,Finalizado,Privada,Bajo
PRJ217,2023-08-20,Bucaramanga,Andina,Tecnología,Licitación pública,Andrés Castillo,2042,2235,281,261,Finalizado,Pública,Medio
PRJ218,2024-05-02,Cúcuta,Andina,Salud,APP,Mariana Torres,10291,10382,211,262,Suspendido,Mixta,Alto
PRJ219,2021-08-09,Santa Marta,Caribe,Infraestructura,Contratación directa,Juan Pérez,8595,10738,526,624,En ejecución,Pública,Alto
PRJ220,2021-02-02,Cartagena,Caribe,Infraestructura,Licitación pública,Mariana Torres,17875,19152,463,479,En ejecución,Privada,Medio
PRJ221,2025-02-03,Santa Marta,Caribe,Tecnología,Contratación directa,Laura Martínez,4235,4145,235,215,Finalizado,Mixta,Bajo
PRJ222,2024-02-23,Cartagena,Caribe,Salud,Licitación pública,Andrés Castillo,11477,11984,317,317,Finalizado,Mixta,Bajo
PRJ223,2023-07-19,Pereira,Andina,Logística,APP,Ana Gómez,7562,7813,263,313,En ejecución,Mixta,Bajo
PRJ224,2021-10-13,Bogotá,Andina,Educación,Acuerdo marco,Carlos Ruiz,6187,6886,429,482,En ejecución,Mixta,Medio
PRJ225,2025-06-04,Bogotá,Andina,Educación,APP,Andrés Castillo,4508,4824,596,680,En ejecución,Pública,Medio
PRJ226,2023-07-19,Santa Marta,Caribe,Educación,Licitación pública,Andrés Castillo,7010,7445,344,425,Suspendido,Mixta,Alto
PRJ227,2024-05-12,Cali,Pacífica,Tecnología,APP,Juan Pérez,6499,7063,670,864,Suspendido,Privada,Alto
PRJ228,2021-06-13,Barranquilla,Caribe,Logística,Licitación pública,Laura Martínez,14653,16509,199,243,Suspendido,Mixta,Alto
PRJ229,2020-04-04,Bogotá,Andina,Logística,Contratación directa,Laura Martínez,8455,8705,652,705,En ejecución,Privada,Bajo
PRJ230,2021-04-21,Villavicencio,Orinoquía,Tecnología,Licitación pública,Laura Martínez,2455,2499,645,601,Finalizado,Mixta,Bajo
PRJ231,2025-04-28,Bogotá,Andina,Logística,Acuerdo marco,Andrés Castillo,6356,6808,123,144,En ejecución,Mixta,Medio
PRJ232,2025-06-26,Medellín,Andina,Infraestructura,Acuerdo marco,Mariana Torres,9044,10475,181,222,Suspendido,Privada,Alto
PRJ233,2019-10-10,Cúcuta,Andina,Infraestructura,APP,Juan Pérez,10218,12293,550,639,En ejecución,Pública,Alto
PRJ234,2023-04-16,Cúcuta,Andina,Tecnología,Acuerdo marco,Ana Gómez,6417,6224,476,415,Finalizado,Privada,Bajo
PRJ235,2025-01-09,Pereira,Andina,Logística,Contratación directa,Andrés Castillo,6056,6880,425,462,En ejecución,Pública,Medio
PRJ236,2025-02-08,Pereira,Andina,Logística,Acuerdo marco,Carlos Ruiz,13546,14390,402,404,En ejecución,Pública,Medio
PRJ237,2020-04-07,Bogotá,Andina,Tecnología,Licitación pública,Carlos Ruiz,2551,2462,154,144,Finalizado,Pública,Bajo
PRJ238,2019-07-19,Barranquilla,Caribe,Infraestructura,Acuerdo marco,Juan Pérez,16843,18417,177,175,Finalizado,Pública,Medio
PRJ239,2022-03-30,Barranquilla,Caribe,Logística,APP,Laura Martínez,11253,11732,266,357,Suspendido,Privada,Alto
PRJ240,2024-11-05,Barranquilla,Caribe,Tecnología,APP,Mariana Torres,6560,7165,299,370,Suspendido,Pública,Alto
PRJ241,2023-10-16,Santa Marta,Caribe,Tecnología,Licitación pública,Mariana Torres,5122,5469,446,441,Finalizado,Privada,Medio
PRJ242,2023-07-31,Cali,Pacífica,Educación,Acuerdo marco,Carlos Ruiz,7879,7927,350,364,En ejecución,Privada,Bajo
PRJ243,2020-08-14,Cúcuta,Andina,Infraestructura,Acuerdo marco,Juan Pérez,16683,17964,368,377,En ejecución,Privada,Medio
PRJ244,2022-09-14,Medellín,Andina,Tecnología,APP,Ana Gómez,3560,3409,506,633,Suspendido,Privada,Alto
PRJ245,2025-10-05,Bogotá,Andina,Infraestructura,Contratación directa,Laura Martínez,19001,22074,610,617,En ejecución,Privada,Alto
PRJ246,2022-09-25,Cartagena,Caribe,Infraestructura,Contratación directa,Carlos Ruiz,9922,11900,610,746,Suspendido,Privada,Alto
PRJ247,2025-10-11,Barranquilla,Caribe,Tecnología,Contratación directa,Laura Martínez,4318,4348,666,652,Finalizado,Mixta,Bajo
PRJ248,2022-06-17,Cartagena,Caribe,Educación,Acuerdo marco,Juan Pérez,9918,10318,447,547,Suspendido,Pública,Alto
PRJ249,2023-02-27,Bucaramanga,Andina,Tecnología,Licitación pública,Laura Martínez,3195,3043,686,711,En ejecución,Pública,Bajo
PRJ250,2025-06-30,Pereira,Andina,Educación,Contratación directa,Carlos Ruiz,5884,6042,371,408,En ejecución,Mixta,Bajo
PRJ251,2022-10-14,Cartagena,Caribe,Tecnología,Acuerdo marco,Juan Pérez,4885,4764,679,643,Finalizado,Pública,Bajo
PRJ252,2025-01-29,Bogotá,Andina,Logística,Licitación pública,Ana Gómez,6794,7728,542,537,Finalizado,Privada,Medio
PRJ253,2021-08-05,Medellín,Andina,Salud,Licitación pública,Carlos Ruiz,8735,9223,614,704,En ejecución,Privada,Medio
PRJ254,2019-03-06,Bogotá,Andina,Logística,Acuerdo marco,Ana Gómez,14673,16580,668,830,Suspendido,Pública,Alto
PRJ255,2019-03-12,Santa Marta,Caribe,Tecnología,Contratación directa,Ana Gómez,6295,6120,316,307,Finalizado,Pública,Bajo
PRJ256,2021-10-30,Bucaramanga,Andina,Educación,Acuerdo marco,Ana Gómez,7326,7610,369,460,Suspendido,Mixta,Alto
PRJ257,2021-07-14,Cartagena,Caribe,Infraestructura,Licitación pública,Ana Gómez,14213,15995,607,586,Finalizado,Mixta,Medio
PRJ258,2019-02-08,Cali,Pacífica,Infraestructura,Acuerdo marco,Juan Pérez,13427,15617,217,264,Suspendido,Privada,Alto
PRJ259,2019-06-24,Barranquilla,Caribe,Salud,Acuerdo marco,Mariana Torres,5609,6184,407,496,Suspendido,Pública,Alto
PRJ260,2025-04-27,Bogotá,Andina,Salud,APP,Ana Gómez,9808,10020,527,700,Suspendido,Pública,Alto
PRJ261,2022-05-10,Cali,Pacífica,Logística,Contratación directa,Laura Martínez,14856,15743,263,312,En ejecución,Mixta,Medio
PRJ262,2019-11-18,Santa Marta,Caribe,Educación,Licitación pública,Ana Gómez,5901,6466,468,529,En ejecución,Mixta,Medio
PRJ263,2025-11-19,Villavicencio,Orinoquía,Tecnología,APP,Ana Gómez,4239,4525,581,695,En ejecución,Privada,Medio
PRJ264,2022-12-28,Santa Marta,Caribe,Tecnología,Acuerdo marco,Carlos Ruiz,6799,7132,207,207,Finalizado,Privada,Bajo
PRJ265,2022-04-24,Barranquilla,Caribe,Infraestructura,Licitación pública,Mariana Torres,14225,16960,277,324,En ejecución,Pública,Alto
PRJ266,2022-07-21,Bucaramanga,Andina,Infraestructura,Licitación pública,Ana Gómez,15286,17150,396,388,Finalizado,Mixta,Medio
PRJ267,2019-12-24,Cali,Pacífica,Tecnología,Acuerdo marco,Laura Martínez,6197,6266,146,126,Finalizado,Privada,Bajo
PRJ268,2025-03-20,Medellín,Andina,Logística,APP,Juan Pérez,10781,11584,206,261,Suspendido,Pública,Alto
PRJ269,2025-04-10,Barranquilla,Caribe,Logística,Contratación directa,Andrés Castillo,8777,8996,428,441,En ejecución,Mixta,Bajo
PRJ270,2020-08-20,Medellín,Andina,Salud,Acuerdo marco,Mariana Torres,7455,7996,198,209,En ejecución,Mixta,Medio
PRJ271,2021-10-07,Cúcuta,Andina,Logística,Contratación directa,Juan Pérez,8219,8669,525,551,En ejecución,Pública,Medio
PRJ272,2025-12-15,Pereira,Andina,Educación,Acuerdo marco,Mariana Torres,9333,10416,259,269,En ejecución,Mixta,Medio
PRJ273,2025-10-06,Barranquilla,Caribe,Tecnología,APP,Carlos Ruiz,4614,4585,622,833,Suspendido,Mixta,Alto
PRJ274,2021-09-19,Bucaramanga,Andina,Tecnología,APP,Juan Pérez,2932,3195,324,397,Suspendido,Mixta,Alto
PRJ275,2025-02-12,Cali,Pacífica,Logística,Licitación pública,Andrés Castillo,9434,10178,418,501,En ejecución,Mixta,Medio
PRJ276,2019-10-11,Pereira,Andina,Tecnología,Contratación directa,Andrés Castillo,3982,3933,277,275,Finalizado,Mixta,Bajo
PRJ277,2023-03-25,Medellín,Andina,Tecnología,Acuerdo marco,Laura Martínez,6377,6542,548,525,Finalizado,Mixta,Bajo
PRJ278,2023-01-12,Santa Marta,Caribe,Logística,Licitación pública,Ana Gómez,11816,12169,165,184,En ejecución,Pública,Bajo
PRJ279,2023-06-25,Bucaramanga,Andina,Tecnología,Licitación pública,Ana Gómez,4119,4050,651,626,Finalizado,Pública,Bajo
PRJ280,2025-06-14,Barranquilla,Caribe,Tecnología,APP,Juan Pérez,6821,7186,274,316,En ejecución,Mixta,Medio
PRJ281,2019-04-11,Cúcuta,Andina,Infraestructura,APP,Juan Pérez,9901,12042,265,305,En ejecución,Pública,Alto
PRJ282,2022-11-06,Cúcuta,Andina,Salud,Acuerdo marco,Mariana Torres,5799,6180,583,609,En ejecución,Mixta,Medio
PRJ283,2022-05-14,Bogotá,Andina,Infraestructura,Licitación pública,Mariana Torres,9791,11606,288,353,Suspendido,Privada,Alto
PRJ284,2021-09-26,Santa Marta,Caribe,Salud,Contratación directa,Mariana Torres,8492,9712,357,424,En ejecución,Privada,Medio
PRJ285,2021-01-25,Cali,Pacífica,Tecnología,Acuerdo marco,Ana Gómez,3616,3679,559,518,Finalizado,Privada,Bajo
PRJ286,2021-05-29,Barranquilla,Caribe,Educación,Licitación pública,Laura Martínez,8398,8381,453,457,En ejecución,Pública,Bajo
PRJ287,2020-04-11,Cartagena,Caribe,Tecnología,APP,Laura Martínez,5215,5413,476,550,En ejecución,Mixta,Bajo
PRJ288,2024-02-19,Villavicencio,Orinoquía,Salud,APP,Laura Martínez,5694,6268,440,477,En ejecución,Privada,Medio
PRJ289,2022-06-04,Medellín,Andina,Salud,APP,Andrés Castillo,9184,9719,261,319,Suspendido,Pública,Alto
PRJ290,2023-09-29,Cali,Pacífica,Tecnología,Contratación directa,Laura Martínez,6011,5970,311,283,Finalizado,Pública,Bajo
PRJ291,2024-01-22,Villavicencio,Orinoquía,Infraestructura,APP,Ana Gómez,10236,11147,513,686,Suspendido,Mixta,Alto
PRJ292,2024-09-01,Cúcuta,Andina,Tecnología,Acuerdo marco,Juan Pérez,5636,5767,204,196,Finalizado,Privada,Bajo
PRJ293,2021-06-22,Cartagena,Caribe,Infraestructura,APP,Carlos Ruiz,12729,13793,588,717,Suspendido,Privada,Alto
PRJ294,2024-07-21,Santa Marta,Caribe,Logística,Licitación pública,Laura Martínez,10389,11838,495,550,En ejecución,Pública,Medio
PRJ295,2019-06-20,Cúcuta,Andina,Logística,Contratación directa,Juan Pérez,10055,10593,153,165,En ejecución,Pública,Medio
PRJ296,2022-11-28,Medellín,Andina,Tecnología,Licitación pública,Carlos Ruiz,6816,7179,558,492,Finalizado,Pública,Medio
PRJ297,2020-07-24,Barranquilla,Caribe,Salud,Licitación pública,Laura Martínez,9360,9754,671,671,Finalizado,Mixta,Bajo
PRJ298,2022-04-13,Cartagena,Caribe,Logística,APP,Laura Martínez,7560,7744,541,717,Suspendido,Privada,Alto
PRJ299,2022-02-09,Cali,Pacífica,Salud,Contratación directa,Carlos Ruiz,7638,8587,522,572,En ejecución,Privada,Medio
PRJ300,2025-06-23,Cartagena,Caribe,Tecnología,Acuerdo marco,Juan Pérez,2762,2790,404,399,Finalizado,Pública,Bajo
